1,FÖRNYBAR,Domestic,Medium,White,General,24.99,A medium-sized trash can suitable for general waste.,100,,,
2,ÅTERVINNA,Domestic,Small,Blue,Plastic,18.5,Compact trash can designed for plastic waste collection.,80,,,
3,GLASRÄDDARE,Domestic,Large,Green,Glass,29.99,A spacious trash can for efficient glass waste sorting.,70,,,
4,FÖRETAGSINSATS,Company,Extra Large,Black,General,49.99,A large-capacity trash can suitable for office spaces.,60,,,
5,PLASTPIONJÄR,Domestic,Medium,Red,Plastic,22.99,Medium-sized trash can designed for plastic waste collection.,90,,,
6,PAPIRGEMEN,Domestic,Small,"White, Blue",Paper,19.99,Compact trash can for efficient paper waste disposal.,100,,,
9,ÅTERANVÄNDBAR,Domestic,Small,Gray,General,20.5,Compact and reusable trash can for everyday waste.,120,,,
7,TRÄDGÅRDSSAMLARE,Domestic,Medium,Brown,Green Waste,26.99,A trash can designed for collecting garden waste.,60,,,
10,KARTONGHJÄLTE,Domestic,Medium,Yellow,Cardboard,23.99,Medium-sized trash can for efficient cardboard waste collection.,85,,,
11,GLÄDJESPRIDARE,Company,Extra Large,Black,General,49.99,An extra-large trash can for busy office environments.,50,,,
12,PLASTPERFORMANCE,Domestic,Medium,Green,Plastic,22.99,Medium-sized trash can optimized for plastic waste disposal.,95,,,
13,FÖRETAGSFÖRVALTARE,Company,Large,Gray,General,39.99,A large-capacity trash can suitable for office use.,70,,,
14,MILJÖVÄN,Domestic,Small,Blue,Recycling,18.5,Compact trash can for efficient waste recycling at home.,85,,,
15,PAPPERSDROTTNING,Domestic,Medium,Pink,Paper,24.99,Medium-sized trash can for organized paper waste collection.,75,,,
16,GLASGIGANT,Domestic,Large,Clear,Glass,29.99,A spacious clear trash can for efficient glass waste sorting.,60,,,
17,PLASTPIONJÄR,Domestic,Medium,Orange,Plastic,22.99,Medium-sized trash can designed for plastic waste collection.,90,,,
18,BIOAVFALLSHJÄLTE,Domestic,Small,Green,Organic Waste,19.99,Compact trash can for efficient organic waste collection.,100,,,
19,KOMPISÅTERVINNARE,Domestic,Medium,Yellow,Recycling,25.99,A friendly trash can for efficient waste recycling at home.,85,,,
20,ARBETSPLATSÅTERVINNING,Company,Extra Large,Black,General,49.99,An extra-large trash can for office recycling efforts.,55,,,
21,ÅTERANVÄNDBAR,Company,Large,Green,Recycling,34.99,A large-capacity trash can for recycling purposes in offices.,40,,,
22,PLASTIKONOM,Company,Medium,Blue,Plastic,29.99,A mid-sized trash can designed specifically for plastic waste in office environments.,50,,,
23,PAPPERSMEKANIK,Company,Large,Brown,Paper,39.99,A large-capacity trash can for paper waste in office spaces.,35,,,
24,METALLMASTER,Company,Medium,"Silver, Black",Metal,32.99,A mid-sized trash can designed for efficient metal waste sorting in workplaces.,40,,,
25,FÖRPACKNINGSFÖRSVARARE,Company,Small,White,Packaging,24.99,A compact trash can suitable for packaging waste in office settings.,60,,,
26,ELEKTRONIKSORTERARE,Company,Large,Gray,Electronics,42.99,A large-capacity trash can designed for sorting electronic waste in offices.,30,,,
27,BIOAVFALLSKUNGEN,Company,Small,Green,Organic Waste,27.99,A compact trash can for efficient organic waste collection in office environments.,55,,,
28,ÅTERVUNNEN,Company,Medium,Blue,Recycling,31.99,A mid-sized trash can for promoting recycling efforts within companies.,45,,,
29,FÖRNYBARARE,Company,Large,"Green, Wood",General,37.99,A large-capacity trash can suitable for general waste in office spaces.,67,,,
30,PLASTÅTERANVÄNDARE,Company,Medium,"White, Clear",Plastic,29.99,A mid-sized trash can designed for recycling plastic waste within companies.,39,,,
31,PAPPERSBEVARARE,Company,Large,Brown,Paper,34.5,A large-capacity trash can for efficient paper waste management in offices.,34,,,
32,GLASORDNARE,Company,Medium,Clear,Hazardious,67.5,A mid-sized trash can designed for sorting hazardious waste in storage settings.,12,,,
33,METALLHANTERARE,Company,Small,Silver,Metal,24.99,A compact trash can suitable for metal waste management in offices.,23,,,
34,FÖRPACKNINGSSKYDDAREN,Company,Extra Large,White,Packaging,37.99,A large-capacity trash can for efficient disposal of packaging waste within companies.,45,,,
35,ELEKTRONIKSORTERAREN,Company,Medium,Gray,Electronics,35.99,A mid-sized trash can designed for sorting electronic waste in office environments.,55,,,
36,GRÖNSAKSKOMPIS,Domestic,Small,Green,Organic Waste,19.99,Compact trash can for efficient organic waste collection at home.,39,,,
37,ÅTERVINNINGSVÄN,Domestic,Medium,Blue,Recycling,24.99,A mid-sized trash can for promoting recycling at home.,124,,,
38,PAPPERSSAMLAREN,Domestic,Large,White,Paper,29.99,A large-capacity trash can for organized paper waste collection at home.,78,,,
39,GLASHANTERAREN,Domestic,Medium,Clear,Glass,26.99,A mid-sized clear trash can for efficient glass waste sorting at home.,75,,,
40,PLASTÅTERVINNAREN,Domestic,Small,"Blue, Black",Plastic,21.99,Compact trash can designed for plastic waste recycling at home.,86,,,
